fold	seed_block	row	col	entries	fit_entries	fit_ok	fit_reasons	fit_mu_mev	fit_mu_err_mev	fit_sigma_mev	global_reference_mu_mev	raw_spatial_residual_mev	shrink_factor	regularized_spatial_residual_mev	full_energy_scale	support_pass	damping	pre_normalization_energy_scale	normalization_log_energy_shift	remaining_mean_log_mass_shift	applied_energy_scale	clipped
full_sample	3	0	3	1230	572	1	pass	134.80574725831897	0.4094087580229972	4.39761725294169	134.98724655472546	-0.18149929640648566	0.754601226993865	-0.13695959176685726	1.0020324757287773	1	0.75	1.001523969846906	0.00034413002581994926	2.090616841321379e-13	1.0011793746734767	0
full_sample	4	0	4	1630	721	1	pass	133.23789879531742	0.37373220190866624	4.107677901240352	134.98724655472546	-1.7493477594080389	0.8029556650246306	-1.4046486935148292	1.0211426778506096	1	0.75	1.01	0.00034413002581994926	2.090616841321379e-13	1.0096524884719267	1
full_sample	5	0	5	1935	889	0	mu_error	139.2474667425974	1.1367152494206558	6.9427898191274355	134.98724655472546	nan	0.828693790149893	nan	1.0	0	0.75	1.0	0.00034413002581994926	2.090616841321379e-13	1.0	0
full_sample	6	0	6	1977	906	1	pass	135.6817971861653	0.4359245882456655	4.829892754219451	134.98724655472546	0.6945506314398529	0.8317206562894405	0.5776721070073997	0.9914950490742679	1	0.75	0.9936144813285588	0.00034413002581994926	2.090616841321379e-13	0.9932726075793289	0
full_sample	7	0	7	1730	802	1	pass	129.70974149424626	0.41675773261365423	4.636251855343354	134.98724655472546	-5.2775050604792	0.812206572769953	-4.286424297947894	1.0666724661188571	1	0.75	1.01	0.00034413002581994926	2.090616841321379e-13	1.0096524884719267	1
full_sample	8	0	8	1864	837	1	pass	132.65784604766887	0.36156403207325305	4.122000541672855	134.98724655472546	-2.32940050705659	0.823321554770318	-1.9178456471525989	1.0290347991664994	1	0.75	1.01	0.00034413002581994926	2.090616841321379e-13	1.0096524884719267	1
full_sample	9	0	9	1973	898	1	pass	136.30992539309653	0.3992211173637937	4.5556334229456	134.98724655472546	1.3226788383710755	0.8314369995785925	1.0997241247813452	0.9839019707892409	1	0.75	0.99	0.00034413002581994926	2.090616841321379e-13	0.99	1
full_sample	10	0	10	1895	893	1	pass	136.3821567186887	0.2908624959211381	4.740385247209012	134.98724655472546	1.3949101639632318	0.8257080610021786	1.1517885667583112	0.98314949716555	1	0.75	0.99	0.00034413002581994926	2.090616841321379e-13	0.99	1
full_sample	11	0	11	1869	853	1	pass	134.55384882032178	0.3343518406611781	4.281965351171966	134.98724655472546	-0.4333977344036839	0.8237108858527986	-0.3569944317322544	1.0053107834124766	1	0.75	1.0039804492285977	0.00034413002581994926	2.090616841321379e-13	1.0036350088522936	0
full_sample	12	0	12	1807	864	1	pass	137.3984616227023	0.35190820277942775	4.761180518094038	134.98724655472546	2.4112150679768547	0.8187584956955143	1.9742028218550869	0.9713769718205648	1	0.75	0.99	0.00034413002581994926	2.090616841321379e-13	0.99	1
full_sample	13	0	13	1829	866	1	pass	138.95129366357696	0.3711947037370825	4.383783542720719	134.98724655472546	3.964047108851503	0.8205473306415433	3.2526882737054277	0.9534914975724754	1	0.75	0.99	0.00034413002581994926	2.090616841321379e-13	0.99	1
full_sample	14	0	14	1889	945	1	pass	135.73899103514677	0.3621688336129466	5.321656979073825	134.98724655472546	0.7517444804213085	0.8252512013979904	0.6203780356119929	0.9908706096579241	1	0.75	0.9931451137016444	0.00034413002581994926	2.090616841321379e-13	0.9928034014481185	0
full_sample	15	0	15	1718	832	1	pass	134.8432748377494	0.4398023476069376	6.0746035442127555	134.98724655472546	-0.14397171697606836	0.8111425873465533	-0.11678159101269378	1.0017326458805005	1	0.75	1.0012992031700727	0.00034413002581994926	2.090616841321379e-13	1.0009546853322981	0
full_sample	16	0	16	1704	804	1	pass	133.70173407306336	0.3265599038933937	4.0730386169422825	134.98724655472546	-1.2855124816620958	0.8098859315589354	-1.0411184737415453	1.0156069910135548	1	0.75	1.01	0.00034413002581994926	2.090616841321379e-13	1.0096524884719267	1
