fold	run	calibration_excluded	damping	events	support_mode	support_runs	support_run_count	support_events	support_two_sided	support_shrink_alpha	fit_entries	fit_ok	fit_reasons	fit_mu_mev	fit_mu_residual_mev	fit_mu_err_mev	fit_sigma_mev	group_full_energy_scale	period_full_energy_scale	full_energy_scale	applied_energy_scale	clipped
full_sample	4253	0	1.0	20689	run_local	4253	1	20689	0	1.0	13486	1	pass	134.9987559956904	0.0221559956904116	0.047357184644493115	4.014565103302379	nan	1.0001857932630462	0.9998358800010637	0.9998358800010637	0
full_sample	4254	0	1.0	19747	run_local	4254	1	19747	0	1.0	12885	1	pass	134.95835356224327	-0.01824643775671575	0.04779049857065926	3.9621334746669965	nan	1.0001857932630462	1.0001352005064903	1.0001352005064903	0
full_sample	4255	0	1.0	2709	run_local	4255	1	2709	0	1.0	1906	1	pass	134.92011183669058	-0.05648816330941031	0.11161113343280103	3.9568303087177314	nan	1.0001857932630462	1.0004186785983233	1.0004186785983233	0
full_sample	4256	0	1.0	3922	run_local	4256	1	3922	0	1.0	2892	1	pass	135.0371001272691	0.06050012726910836	0.08197974926012871	3.516774193999574	nan	1.0001857932630462	0.9995519740337131	0.9995519740337131	0
full_sample	4257	0	1.0	4128	run_local	4257	1	4128	0	1.0	2529	1	pass	135.3436862130583	0.36708621305831457	0.10064034979284019	3.8371783922541867	nan	1.0001857932630462	0.9972877477824829	0.9972877477824829	0
full_sample	4258	0	1.0	3823	run_local	4258	1	3823	0	1.0	2367	1	pass	135.20429943517397	0.2276994351739745	0.10837764410367587	4.033452801300253	nan	1.0001857932630462	0.9983158861358314	0.9983158861358314	0
full_sample	4259	0	1.0	788	chronological_group_two_sided	4259,4258,4260	3	4911	1	1.0	3062	1	pass	135.16849157101728	0.19189157101729393	0.09658882761825921	4.056616308671032	0.9985803527968168	1.0001857932630462	0.9985803527968168	0.9985803527968168	0
full_sample	4260	0	1.0	300	chronological_group_two_sided	4260,4259,4261	3	1355	1	1.0	874	1	pass	134.85705900750122	-0.11954099249877004	0.19153431682578972	4.473645891716276	1.0008864274023068	1.0001857932630462	1.0008864274023068	1.0008864274023068	0
full_sample	4261	0	1.0	267	chronological_group_two_sided	4261,4260,4262	3	24434	1	1.0	14143	1	pass	134.98996961494493	0.013369614944934938	0.048471124269232085	4.0662766926967535	0.9999009584565204	1.0001857932630462	0.9999009584565204	0.9999009584565204	0
full_sample	4262	0	1.0	23867	run_local	4262	1	23867	0	1.0	13776	1	pass	134.99116184568393	0.01456184568394292	0.04899307896640529	4.054412818479005	nan	1.0001857932630462	0.9998921274142333	0.9998921274142333	0
full_sample	4263	0	1.0	25169	run_local	4263	1	25169	0	1.0	14803	1	pass	134.9179795383794	-0.05862046162059187	0.04619094656602075	3.9398037632315317	nan	1.0001857932630462	1.000434489619702	1.000434489619702	0
full_sample	4264	0	1.0	25634	run_local	4264	1	25634	0	1.0	15014	1	pass	134.9904662248082	0.013866224808197103	0.046071587163176136	3.9433584822971968	nan	1.0001857932630462	0.9998972799694972	0.9998972799694972	0
full_sample	4265	0	1.0	26311	run_local	4265	1	26311	0	1.0	15256	1	pass	134.83713677308222	-0.13946322691776913	0.04551426818509821	3.9413142182275736	nan	1.0001857932630462	1.0010343087242535	1.0010343087242535	0
full_sample	4266	0	1.0	13192	run_local	4266	1	13192	0	1.0	8354	1	pass	134.96471534897682	-0.01188465102316627	0.05775060796046961	3.746283471775221	nan	1.0001857932630462	1.0000880574674087	1.0000880574674087	0
full_sample	4267	0	1.0	8318	run_local	4267	1	8318	0	1.0	5490	1	pass	134.98314505622704	0.006545056227054147	0.06764078027173767	3.8360607900868176	nan	1.0001857932630462	0.9999515120482314	0.9999515120482314	0
full_sample	4268	0	1.0	5369	run_local	4268	1	5369	0	1.0	3163	1	pass	135.2489593275033	0.2723593275032954	0.09165074784051433	3.753400134813731	nan	1.0001857932630462	0.9979862371669435	0.9979862371669435	0
full_sample	4269	0	1.0	3197	run_local	4269	1	3197	0	1.0	1885	1	pass	135.36973197848974	0.39313197848974824	0.11851275077066784	3.632709999008649	nan	1.0001857932630462	0.9970958649858875	0.9970958649858875	0
full_sample	4270	0	1.0	947	chronological_group_one_sided_shrunk	4270,4269	2	4144	0	0.4263352253056334	2459	1	pass	135.25768613993046	0.2810861399304656	0.10391885012947069	3.675183486562972	0.9979218471944015	1.0001857932630462	0.99921996590223	0.99921996590223	0
full_sample	4300	0	1.0	22519	run_local	4300	1	22519	0	1.0	13111	1	pass	135.0016895675995	0.0250895675995082	0.05063759557680198	4.102901204325682	nan	1.0001857932630462	0.9998141536770402	0.9998141536770402	0
full_sample	4301	0	1.0	21390	run_local	4301	1	21390	0	1.0	12460	1	pass	134.88458791720421	-0.092012082795776	0.050615755244496644	4.021905085895632	nan	1.0001857932630462	1.000682154160209	1.000682154160209	0
full_sample	4302	0	1.0	26124	run_local	4302	1	26124	0	1.0	15257	1	pass	134.85622677934734	-0.12037322065265244	0.04651396345222217	4.05239827791254	nan	1.0001857932630462	1.0008926040979154	1.0008926040979154	0
full_sample	4303	0	1.0	23242	run_local	4303	1	23242	0	1.0	13617	1	pass	134.8534371732642	-0.12316282673577916	0.050278701872364925	4.154467360579412	nan	1.0001857932630462	1.0009133087692643	1.0009133087692643	0
full_sample	4304	0	1.0	6283	run_local	4304	1	6283	0	1.0	3870	1	pass	134.87566031532972	-0.1009396846702657	0.08430748569219233	3.898696831928715	nan	1.0001857932630462	1.0007483906616974	1.0007483906616974	0
