period	energy_gev	energy_scale	log_energy_scale
global	0.6	1.045	0.04401688541677432
global	0.7	1.043239868312724	0.04233112878430168
global	0.8	1.031854789620582	0.031357949427115346
global	1.0	1.0214576553826018	0.021230681046380546
global	1.2	1.01196894809265	0.011897886691604244
global	1.5	1.0029763721559346	0.0029719515297762355
global	2.0	0.9906828732271141	-0.009360802699657514
global	2.5	0.984777935209512	-0.01533910971473293
global	3.0	0.9794193651771502	-0.02079536741893964
global	4.0	0.97	-0.030459207484708546
global	6.0	0.97	-0.030459207484708546
lh2_cycle12	0.6	1.044112837538297	0.043167565553250416
lh2_cycle12	0.7	1.040713605077187	0.039906636582074724
lh2_cycle12	0.8	1.031909901818162	0.031411358808350866
lh2_cycle12	1.0	1.0219613010916762	0.02172362520516621
lh2_cycle12	1.2	1.012354510878516	0.012278816714244344
lh2_cycle12	1.5	1.0030491548344889	0.0030445155900107263
lh2_cycle12	2.0	0.992482227662975	-0.007546173217918359
lh2_cycle12	2.5	0.9861531774181387	-0.013943584094375072
lh2_cycle12	3.0	0.9786185617576265	-0.02161333264132585
lh2_cycle12	4.0	0.97	-0.030459207484708546
lh2_cycle12	6.0	0.97	-0.030459207484708546
lh2_cycle34	0.6	1.045	0.04401688541677432
lh2_cycle34	0.7	1.0424578012440286	0.04158119544855182
lh2_cycle34	0.8	1.032718721051851	0.03219485978872659
lh2_cycle34	1.0	1.0217633797636232	0.021529938325004928
lh2_cycle34	1.2	1.0133061016667015	0.013218353033696827
lh2_cycle34	1.5	1.0040800293886993	0.004071728639334014
lh2_cycle34	2.0	0.9923318981640874	-0.007697652892734182
lh2_cycle34	2.5	0.9864760784103574	-0.013616202763951512
lh2_cycle34	3.0	0.9801644320658536	-0.02003493357002217
lh2_cycle34	4.0	0.97	-0.030459207484708546
lh2_cycle34	6.0	0.97	-0.030459207484708546
lh2_cycle56	0.6	1.045	0.04401688541677432
lh2_cycle56	0.7	1.0405552317411073	0.03975444736597376
lh2_cycle56	0.8	1.0295858476302764	0.029156631702469914
lh2_cycle56	1.0	1.0199593988115292	0.019762821417200142
lh2_cycle56	1.2	1.0101426736688837	0.010091581935064915
lh2_cycle56	1.5	1.0013557502143662	0.0013548320148500676
lh2_cycle56	2.0	0.9895901694575351	-0.010464391807752224
lh2_cycle56	2.5	0.983308890977141	-0.01683197525872836
lh2_cycle56	3.0	0.9775784309249791	-0.022676754100983357
lh2_cycle56	4.0	0.97	-0.030459207484708546
lh2_cycle56	6.0	0.97	-0.030459207484708546
