fold	run	calibration_excluded	damping	events	support_mode	support_runs	support_run_count	support_events	support_two_sided	support_shrink_alpha	fit_entries	fit_ok	fit_reasons	fit_mu_mev	fit_mu_residual_mev	fit_mu_err_mev	fit_sigma_mev	group_full_energy_scale	period_full_energy_scale	full_energy_scale	applied_energy_scale	clipped
full_sample	4253	0	1.0	20689	run_local	4253	1	20689	0	1.0	13471	1	pass	135.21790766086986	0.24130766086986455	0.04963485364638667	4.161816301576567	nan	0.9988454523902852	0.9982154163968054	0.9982154163968054	0
full_sample	4254	0	1.0	19747	run_local	4254	1	19747	0	1.0	12844	1	pass	135.16328464664034	0.18668464664034445	0.04999683676622189	4.121768147312879	nan	0.9988454523902852	0.9986188213231988	0.9986188213231988	0
full_sample	4255	0	1.0	2709	run_local	4255	1	2709	0	1.0	1903	1	pass	135.1975719695301	0.22097196953009757	0.11691418838727231	4.194700384840759	nan	0.9988454523902852	0.9983655625888023	0.9983655625888023	0
full_sample	4256	0	1.0	3922	run_local	4256	1	3922	0	1.0	2888	1	pass	135.23524640917955	0.25864640917956194	0.08591041377049759	3.653759691030213	nan	0.9988454523902852	0.9980874334461818	0.9980874334461818	0
full_sample	4257	0	1.0	4128	run_local	4257	1	4128	0	1.0	2519	1	pass	135.56597592172113	0.5893759217211425	0.10526073665629526	4.098428544878598	nan	0.9988454523902852	0.9956524790404528	0.9956524790404528	0
full_sample	4258	0	1.0	3823	run_local	4258	1	3823	0	1.0	2370	1	pass	135.35569495319896	0.37909495319897246	0.11453209020224654	4.093797352975605	nan	0.9988454523902852	0.9971992685396056	0.9971992685396056	0
full_sample	4259	0	1.0	788	chronological_group_two_sided	4259,4258,4260	3	4911	1	1.0	3065	1	pass	135.35134815143854	0.37474815143855267	0.10138525741350243	4.108429970741481	0.9972312935441229	0.9988454523902852	0.9972312935441229	0.9972312935441229	0
full_sample	4260	0	1.0	300	chronological_group_two_sided	4260,4259,4261	3	1355	1	1.0	873	1	pass	135.08453238832115	0.10793238832116003	0.19748332882965045	4.443078758347327	0.9992010011330469	0.9988454523902852	0.9992010011330469	0.9992010011330469	0
full_sample	4261	0	1.0	267	chronological_group_two_sided	4261,4260,4262	3	24434	1	1.0	14110	1	pass	135.12914696555973	0.15254696555973624	0.0507072365083371	4.191931150171713	0.9988711024306354	0.9988454523902852	0.9988711024306354	0.9988711024306354	0
full_sample	4262	0	1.0	23867	run_local	4262	1	23867	0	1.0	13744	1	pass	135.127117487418	0.15051748741799997	0.051246501204669156	4.177443385284068	nan	0.9988454523902852	0.9988861045050265	0.9988861045050265	0
full_sample	4263	0	1.0	25169	run_local	4263	1	25169	0	1.0	14749	1	pass	135.05881812676836	0.08221812676836748	0.048364314469292055	4.101287245330662	nan	0.9988454523902852	0.9993912420683913	0.9993912420683913	0
full_sample	4264	0	1.0	25634	run_local	4264	1	25634	0	1.0	14981	1	pass	135.1596143778474	0.1830143778473996	0.048385680853666145	4.111278817619382	nan	0.9988454523902852	0.9986459388872199	0.9986459388872199	0
full_sample	4265	0	1.0	26311	run_local	4265	1	26311	0	1.0	15234	1	pass	135.0103445360834	0.0337445360834181	0.04811846983642765	4.078125941260873	nan	0.9988454523902852	0.9997500596254356	0.9997500596254356	0
full_sample	4266	0	1.0	13192	run_local	4266	1	13192	0	1.0	8329	1	pass	135.16155109337487	0.18495109337487747	0.061102990067529075	3.94118072652538	nan	0.9988454523902852	0.9986316293954994	0.9986316293954994	0
full_sample	4267	0	1.0	8318	run_local	4267	1	8318	0	1.0	5484	1	pass	135.1255388516036	0.1489388516036172	0.07180083720215866	4.020017989389985	nan	0.9988454523902852	0.9988977742263275	0.9988977742263275	0
full_sample	4268	0	1.0	5369	run_local	4268	1	5369	0	1.0	3158	1	pass	135.3668769958697	0.3902769958696979	0.0981189667287555	3.9528842644017	nan	0.9988454523902852	0.9971168944387954	0.9971168944387954	0
full_sample	4269	0	1.0	3197	run_local	4269	1	3197	0	1.0	1882	1	pass	135.47226235776122	0.49566235776123335	0.12192350339590956	3.7108761677923012	nan	0.9988454523902852	0.996341226247095	0.996341226247095	0
full_sample	4270	0	1.0	947	chronological_group_one_sided_shrunk	4270,4269	2	4144	0	0.4211398671737314	2456	1	pass	135.38094333514132	0.40434333514133414	0.10818214366433644	3.7817210434270563	0.9970132920839504	0.9988454523902852	0.9980734466098243	0.9980734466098243	0
full_sample	4300	0	1.0	22519	run_local	4300	1	22519	0	1.0	13052	1	pass	135.21064359048592	0.23404359048592482	0.05302783522549138	4.29246439077643	nan	0.9988454523902852	0.9982690446234782	0.9982690446234782	0
full_sample	4301	0	1.0	21390	run_local	4301	1	21390	0	1.0	12427	1	pass	135.09927004188114	0.12267004188115038	0.053664555335511996	4.216185449368022	nan	0.9988454523902852	0.9990920007055322	0.9990920007055322	0
full_sample	4302	0	1.0	26124	run_local	4302	1	26124	0	1.0	15226	1	pass	135.02999432458387	0.05339432458387705	0.04845376898641189	4.1533089435399395	nan	0.9988454523902852	0.9996045743403089	0.9996045743403089	0
full_sample	4303	0	1.0	23242	run_local	4303	1	23242	0	1.0	13589	1	pass	135.03851388151656	0.061913881516574065	0.05234811122406932	4.2410396909802	nan	0.9988454523902852	0.9995415094572879	0.9995415094572879	0
full_sample	4304	0	1.0	6283	run_local	4304	1	6283	0	1.0	3852	1	pass	135.11545676465178	0.1388567646517913	0.0888994622824757	4.203376675055301	nan	0.9988454523902852	0.9989723102894611	0.9989723102894611	0
full_sample	4305	0	1.0	3714	run_local	4305	1	3714	0	1.0	2295	1	pass	135.1639037627918	0.1873037627917995	0.10810648102793602	3.9942225026085723	nan	0.9988454523902852	0.9986142471652749	0.9986142471652749	0
full_sample	4306	0	1.0	4277	run_local	4306	1	4277	0	1.0	2780	1	pass	134.93096998705184	-0.04563001294815194	0.096628774869591	3.9285637152670745	nan	0.9988454523902852	1.0003381730150798	1.0003381730150798	0
full_sample	4308	0	1.0	2478	run_local	4308	1	2478	0	1.0	1489	1	pass	135.06349172935487	0.08689172935487477	0.14825830837348106	4.288434904735256	nan	0.9988454523902852	0.9993566601289341	0.9993566601289341	0
full_sample	4309	0	1.0	466	chronological_group_one_sided_shrunk	4309,4312	2	28230	0	0.47942821577696854	14865	1	pass	135.12882751388196	0.15222751388196798	0.051786217840251114	4.179510510256724	0.9988734638146229	0.9991710497327776	0.9990283675852245	0.9990283675852245	0
full_sample	4312	0	1.0	27764	run_local	4312	1	27764	0	1.0	14593	1	pass	135.12606537340318	0.14946537340318855	0.05224170760304551	4.1722015931287455	nan	0.9991710497327776	0.9988938819983386	0.9988938819983386	0
full_sample	4313	0	1.0	31806	run_local	4313	1	31806	0	1.0	16812	1	pass	135.2265612365225	0.24996123652252322	0.04828313928922157	4.172447955132599	nan	0.9991710497327776	0.9981515374329063	0.9981515374329063	0
full_sample	4314	0	1.0	31068	run_local	4314	1	31068	0	1.0	16390	1	pass	135.1124608018087	0.13586080180871818	0.04849208669099685	4.17380448551022	nan	0.9991710497327776	0.9989944613472179	0.9989944613472179	0
