fold	seed_block	row	col	entries	fit_entries	fit_ok	fit_reasons	fit_mu_mev	fit_mu_err_mev	fit_sigma_mev	global_reference_mu_mev	raw_spatial_residual_mev	shrink_factor	regularized_spatial_residual_mev	full_energy_scale	support_pass	damping	pre_normalization_energy_scale	normalization_log_energy_shift	remaining_mean_log_mass_shift	applied_energy_scale	clipped
full_sample	3	0	3	1230	563	1	pass	134.395621957447	0.3747442629272494	3.88415810554456	134.9873466310481	-0.5917246736011066	0.754601226993865	-0.44651616474193934	1.0066491770987884	1	0.75	1.0049827494311647	0.00032339135150835294	1.4806104907715038e-13	1.0046577992474555	0
full_sample	4	0	4	1630	718	1	pass	132.83029893996036	0.4716719255416926	4.787331224508434	134.9873466310481	-2.1570476910877403	0.8029556650246306	-1.7320136632872003	1.0261664765735778	1	0.75	1.01	0.00032339135150835294	1.4806104907715038e-13	1.009673427543177	1
full_sample	5	0	5	1935	890	0	mu_error	139.12265251945723	0.8027158835811764	6.363682112272925	134.9873466310481	nan	0.828693790149893	nan	1.0	0	0.75	1.0	0.00032339135150835294	1.4806104907715038e-13	1.0	0
full_sample	6	0	6	1977	896	1	pass	135.35678355203407	0.47217545949258827	5.063085778059852	134.9873466310481	0.3694369209859758	0.8317206562894405	0.30726831838000596	0.9954625872970208	1	0.75	0.9965950066786409	0.00032339135150835294	1.4806104907715038e-13	0.9962727685798403	0
full_sample	7	0	7	1730	793	1	pass	129.47980685630336	0.39583917378148215	4.38252912277793	134.9873466310481	-5.5075397747447425	0.812206572769953	-4.473260004839626	1.069728865491498	1	0.75	1.01	0.00032339135150835294	1.4806104907715038e-13	1.009673427543177	1
full_sample	8	0	8	1864	826	1	pass	132.37901991371947	0.38754377279096425	4.500206425509921	134.9873466310481	-2.608326717328623	0.823321554770318	-2.1474916082599615	1.0325960361222324	1	0.75	1.01	0.00032339135150835294	1.4806104907715038e-13	1.009673427543177	1
full_sample	9	0	9	1973	889	1	pass	136.14822039758076	0.4454557039680449	5.444769662012133	134.9873466310481	1.16087376653266	0.8314369995785925	0.9651934013354144	0.9858503125929923	1	0.75	0.99	0.00032339135150835294	1.4806104907715038e-13	0.99	1
full_sample	10	0	10	1895	890	1	pass	136.2468351367458	0.29936409376591644	4.754726384026574	134.9873466310481	1.2594885056977034	0.8257080610021786	1.039969811894182	0.9847666492695839	1	0.75	0.99	0.00032339135150835294	1.4806104907715038e-13	0.99	1
full_sample	11	0	11	1869	845	1	pass	134.51282623979495	0.3494669420521208	4.361499470212804	134.9873466310481	-0.4745203912531508	0.8237108858527986	-0.3908676118343494	1.0058168899356696	1	0.75	1.0043595029704815	0.00032339135150835294	1.4806104907715038e-13	1.0040347543067005	0
full_sample	12	0	12	1807	858	1	pass	137.3679441190023	0.42442945844234237	5.33213865130334	134.9873466310481	2.3805974879541907	0.8187584956955143	1.9491344180938934	0.9717326843434099	1	0.75	0.99	0.00032339135150835294	1.4806104907715038e-13	0.99	1
full_sample	13	0	13	1829	866	1	pass	138.6934385286066	0.4335450129691081	4.682484193933514	134.9873466310481	3.706091897558508	0.8205473306415433	3.0410238136538856	0.9564182979861672	1	0.75	0.99	0.00032339135150835294	1.4806104907715038e-13	0.99	1
full_sample	14	0	14	1889	943	1	pass	135.1999929646917	0.38675275604200327	5.398306588244435	134.9873466310481	0.21264633364359042	0.8252512013979904	0.1754866423122509	0.9974048093909231	1	0.75	0.998052974951844	0.00032339135150835294	1.4806104907715038e-13	0.9977302654349435	0
full_sample	15	0	15	1718	833	1	pass	135.23050587709457	0.4085371101663381	5.60599559743645	134.9873466310481	0.2431592460464742	0.8111425873465533	0.19723681997537426	0.9970838599084025	1	0.75	0.9978120967229221	0.00032339135150835294	1.4806104907715038e-13	0.9974894650913633	0
full_sample	16	0	16	1704	794	1	pass	133.59263304949093	0.33792645251506864	4.205003338905606	134.9873466310481	-1.3947135815571698	0.8098859315589354	-1.1295589082573276	1.0169495742743788	1	0.75	1.01	0.00032339135150835294	1.4806104907715038e-13	1.009673427543177	1
full_sample	17	0	17	1766	850	1	pass	136.51132479979006	0.3671582284474547	5.198046669916058	134.9873466310481	1.5239781687419622	0.8153277931671283	1.2425417571552655	0.9818399274450826	1	0.75	0.99	0.00032339135150835294	1.4806104907715038e-13	0.99	1
full_sample	18	0	18	1624	826	1	pass	135.31655477898445	0.3480545063307424	4.741555961998657	134.9873466310481	0.329208147936356	0.8023715415019763	0.2641472491347046	0.9960974884691093	1	0.75	0.9970716862504464	0.00032339135150835294	1.4806104907715038e-13	0.9967492940225182	0
full_sample	19	0	19	1783	839	0	mu_error	135.39950313892516	0.5803610688766313	6.567971034331177	134.9873466310481	nan	0.8167659184608337	nan	1.0	0	0.75	1.0	0.00032339135150835294	1.4806104907715038e-13	1.0	0
full_sample	20	0	20	1582	821	1	pass	135.49593909384959	0.41122865263182107	5.548334216136364	134.9873466310481	0.508592462801488	0.798183652875883	0.4059501897840333	0.9940119083297175	1	0.75	0.9955055612151416	0.00032339135150835294	1.4806104907715038e-13	0.9951836753766198	0
full_sample	21	0	21	1605	811	0	mu_error	139.6748309891168	0.714088823646989	5.276438036574058	134.9873466310481	nan	0.800498753117207	nan	1.0	0	0.75	1.0	0.00032339135150835294	1.4806104907715038e-13	1.0	0
full_sample	22	0	22	1606	817	1	pass	134.33294871244433	0.3909424755629098	5.248330390470139	134.9873466310481	-0.6543979186037632	0.8005982053838484	-0.5239097992410985	1.00780840509383	1	0.75	1.0058506062872068	0.00032339135150835294	1.4806104907715038e-13	1.0055253754914721	0
full_sample	23	0	23	1590	817	1	pass	137.9289114803703	0.3638820888737969	4.963021523523547	134.9873466310481	2.941564849322191	0.7989949748743719	2.3502955328755193	0.9660637002775447	1	0.75	0.99	0.00032339135150835294	1.4806104907715038e-13	0.99	1
full_sample	24	0	24	1504	783	1	pass	137.94335938852706	0.42062108709070095	5.3195255946769455	134.9873466310481	2.956012757478959	0.7899159663865546	2.335001673974976	0.9662789139165494	1	0.75	0.99	0.00032339135150835294	1.4806104907715038e-13	0.99	1
full_sample	25	0	25	1441	713	0	mu_error	137.24315551977017	0.5630536590091657	5.705371966055165	134.9873466310481	nan	0.7827267789244976	nan	1.0	0	0.75	1.0	0.00032339135150835294	1.4806104907715038e-13	1.0	0
full_sample	26	0	26	1301	668	1	pass	134.7267030907155	0.4596259871028102	6.124312182745124	134.9873466310481	-0.26064354033260884	0.7648442092886537	-0.19935170251188952	1.0029604274840382	1	0.75	1.0022194999875724	0.00032339135150835294	1.4806104907715038e-13	1.0018954432703577	0
full_sample	27	0	27	1315	706	1	pass	135.6998159747865	0.460291746015599	5.145386724097136	134.9873466310481	0.7124693437384053	0.7667638483965015	0.5462957358693895	0.9919542057019746	1	0.75	0.9939595649504392	0.00032339135150835294	1.4806104907715038e-13	0.9936381789929057	0
