period	energy_gev	energy_scale	log_energy_scale
global	0.6	1.032691094188014	0.032168107844744755
global	0.7	1.0288981615337318	0.028488483571062245
global	0.8	1.0193956862443583	0.019209987253440464
global	1.0	1.012121026352111	0.012048154971836107
global	1.2	1.0033961743889028	0.0033904204126536815
global	1.5	1.0000572267043732	5.7225066987958415e-05
global	2.0	0.9882740424972869	-0.011795248745808248
global	2.25	0.9865173927266935	-0.01357432293318025
lh2_cycle12	0.6	1.0286087671251791	0.028207177679519378
lh2_cycle12	0.7	1.0258612741292914	0.025532527206526785
lh2_cycle12	0.8	1.0195036602143364	0.019315901231260396
lh2_cycle12	1.0	1.0126081640895992	0.012529343023242977
lh2_cycle12	1.2	1.004736846259982	0.0047256627063470445
lh2_cycle12	1.5	0.9976975769942177	-0.00230507765716751
lh2_cycle12	2.0	0.9905198375141875	-0.009525385266005411
lh2_cycle12	2.25	0.988517501811138	-0.01154893110469628
lh2_cycle34	0.6	1.0317619141430716	0.031267937093522706
lh2_cycle34	0.7	1.0294231199212618	0.028998567593067986
lh2_cycle34	0.8	1.0219417717873978	0.02170451539067641
lh2_cycle34	1.0	1.0128419322782338	0.012760173879151855
lh2_cycle34	1.2	1.0063159382225737	0.00629607627212279
lh2_cycle34	1.5	0.9995751113517363	-0.000424978939022054
lh2_cycle34	2.0	0.9894115261081753	-0.010644930662514476
lh2_cycle34	2.25	0.988653060467301	-0.011411807217701747
lh2_cycle56	0.6	1.031212327517104	0.030735127106979076
lh2_cycle56	0.7	1.026480379929828	0.026135843733374298
lh2_cycle56	0.8	1.0174221984262046	0.017272171947943785
lh2_cycle56	1.0	1.0101846721420025	0.010133157844248028
lh2_cycle56	1.2	1.002847556462065	0.002843509853307109
lh2_cycle56	1.5	0.9960657926075334	-0.003941966744322641
lh2_cycle56	2.0	0.9868377893080851	-0.013249600260724836
lh2_cycle56	2.25	0.985425997828186	-0.014681246200017989
